diagnostic_cell_id,task_idx,state_id,perturbation_template,perturbation_seed,dx_m,dy_m,dyaw_rad,batch,usage,allow_training,allow_dev_selection,assigned_gpu
C_t4_s28_P5,4,28,P5,3000,0.0,0.0,0.0872664626,C,DIAGNOSTIC_ONLY,False,False,3
C_t4_s29_P7,4,29,P7,3002,0.0004489268,-0.0008701707,0.0,C,DIAGNOSTIC_ONLY,False,False,4
C_t4_s30_P6,4,30,P6,3001,0.0,0.0,-0.0872664626,C,DIAGNOSTIC_ONLY,False,False,5
C_t4_s31_P5,4,31,P5,3000,0.0,0.0,0.0872664626,C,DIAGNOSTIC_ONLY,False,False,6
C_t4_s32_P7,4,32,P7,3002,0.0004489268,-0.0008701707,0.0,C,DIAGNOSTIC_ONLY,False,False,7
C_t4_s33_P6,4,33,P6,3001,0.0,0.0,-0.0872664626,C,DIAGNOSTIC_ONLY,False,False,1
C_t4_s34_P5,4,34,P5,3000,0.0,0.0,0.0872664626,C,DIAGNOSTIC_ONLY,False,False,2
C_t4_s35_P7,4,35,P7,3002,0.0004489268,-0.0008701707,0.0,C,DIAGNOSTIC_ONLY,False,False,3
C_t4_s36_P6,4,36,P6,3001,0.0,0.0,-0.0872664626,C,DIAGNOSTIC_ONLY,False,False,4
C_t4_s37_P5,4,37,P5,3000,0.0,0.0,0.0872664626,C,DIAGNOSTIC_ONLY,False,False,5
C_t5_s28_P6,5,28,P6,3001,0.0,0.0,-0.0872664626,C,DIAGNOSTIC_ONLY,False,False,6
C_t5_s29_P5,5,29,P5,3000,0.0,0.0,0.0872664626,C,DIAGNOSTIC_ONLY,False,False,7
C_t5_s30_P7,5,30,P7,3002,0.0004489268,-0.0008701707,0.0,C,DIAGNOSTIC_ONLY,False,False,1
C_t5_s31_P6,5,31,P6,3001,0.0,0.0,-0.0872664626,C,DIAGNOSTIC_ONLY,False,False,2
C_t5_s32_P5,5,32,P5,3000,0.0,0.0,0.0872664626,C,DIAGNOSTIC_ONLY,False,False,3
C_t5_s33_P7,5,33,P7,3002,0.0004489268,-0.0008701707,0.0,C,DIAGNOSTIC_ONLY,False,False,4
C_t5_s34_P6,5,34,P6,3001,0.0,0.0,-0.0872664626,C,DIAGNOSTIC_ONLY,False,False,5
C_t5_s35_P5,5,35,P5,3000,0.0,0.0,0.0872664626,C,DIAGNOSTIC_ONLY,False,False,6
C_t5_s36_P7,5,36,P7,3002,0.0004489268,-0.0008701707,0.0,C,DIAGNOSTIC_ONLY,False,False,7
C_t5_s37_P6,5,37,P6,3001,0.0,0.0,-0.0872664626,C,DIAGNOSTIC_ONLY,False,False,1
C_t6_s28_P7,6,28,P7,3002,0.0004489268,-0.0008701707,0.0,C,DIAGNOSTIC_ONLY,False,False,2
C_t6_s29_P6,6,29,P6,3001,0.0,0.0,-0.0872664626,C,DIAGNOSTIC_ONLY,False,False,3
C_t6_s30_P5,6,30,P5,3000,0.0,0.0,0.0872664626,C,DIAGNOSTIC_ONLY,False,False,4
C_t6_s31_P7,6,31,P7,3002,0.0004489268,-0.0008701707,0.0,C,DIAGNOSTIC_ONLY,False,False,5
C_t6_s32_P6,6,32,P6,3001,0.0,0.0,-0.0872664626,C,DIAGNOSTIC_ONLY,False,False,6
C_t6_s33_P5,6,33,P5,3000,0.0,0.0,0.0872664626,C,DIAGNOSTIC_ONLY,False,False,7
C_t6_s34_P7,6,34,P7,3002,0.0004489268,-0.0008701707,0.0,C,DIAGNOSTIC_ONLY,False,False,1
C_t6_s35_P6,6,35,P6,3001,0.0,0.0,-0.0872664626,C,DIAGNOSTIC_ONLY,False,False,2
C_t6_s36_P5,6,36,P5,3000,0.0,0.0,0.0872664626,C,DIAGNOSTIC_ONLY,False,False,3
C_t6_s37_P7,6,37,P7,3002,0.0004489268,-0.0008701707,0.0,C,DIAGNOSTIC_ONLY,False,False,4
C_t7_s28_P5,7,28,P5,3000,0.0,0.0,0.0872664626,C,DIAGNOSTIC_ONLY,False,False,5
C_t7_s29_P7,7,29,P7,3002,0.0004489268,-0.0008701707,0.0,C,DIAGNOSTIC_ONLY,False,False,6
C_t7_s30_P6,7,30,P6,3001,0.0,0.0,-0.0872664626,C,DIAGNOSTIC_ONLY,False,False,7
C_t7_s31_P5,7,31,P5,3000,0.0,0.0,0.0872664626,C,DIAGNOSTIC_ONLY,False,False,1
C_t7_s32_P7,7,32,P7,3002,0.0004489268,-0.0008701707,0.0,C,DIAGNOSTIC_ONLY,False,False,2
C_t7_s33_P6,7,33,P6,3001,0.0,0.0,-0.0872664626,C,DIAGNOSTIC_ONLY,False,False,3
C_t7_s34_P5,7,34,P5,3000,0.0,0.0,0.0872664626,C,DIAGNOSTIC_ONLY,False,False,4
C_t7_s35_P7,7,35,P7,3002,0.0004489268,-0.0008701707,0.0,C,DIAGNOSTIC_ONLY,False,False,5
C_t7_s36_P6,7,36,P6,3001,0.0,0.0,-0.0872664626,C,DIAGNOSTIC_ONLY,False,False,6
C_t7_s37_P5,7,37,P5,3000,0.0,0.0,0.0872664626,C,DIAGNOSTIC_ONLY,False,False,7
C_t8_s28_P6,8,28,P6,3001,0.0,0.0,-0.0872664626,C,DIAGNOSTIC_ONLY,False,False,1
C_t8_s29_P5,8,29,P5,3000,0.0,0.0,0.0872664626,C,DIAGNOSTIC_ONLY,False,False,2
C_t8_s30_P7,8,30,P7,3002,0.0004489268,-0.0008701707,0.0,C,DIAGNOSTIC_ONLY,False,False,3
C_t8_s31_P6,8,31,P6,3001,0.0,0.0,-0.0872664626,C,DIAGNOSTIC_ONLY,False,False,4
C_t8_s32_P5,8,32,P5,3000,0.0,0.0,0.0872664626,C,DIAGNOSTIC_ONLY,False,False,5
C_t8_s33_P7,8,33,P7,3002,0.0004489268,-0.0008701707,0.0,C,DIAGNOSTIC_ONLY,False,False,6
C_t8_s34_P6,8,34,P6,3001,0.0,0.0,-0.0872664626,C,DIAGNOSTIC_ONLY,False,False,7
C_t8_s35_P5,8,35,P5,3000,0.0,0.0,0.0872664626,C,DIAGNOSTIC_ONLY,False,False,1
C_t8_s36_P7,8,36,P7,3002,0.0004489268,-0.0008701707,0.0,C,DIAGNOSTIC_ONLY,False,False,2
C_t8_s37_P6,8,37,P6,3001,0.0,0.0,-0.0872664626,C,DIAGNOSTIC_ONLY,False,False,3
C_t9_s28_P7,9,28,P7,3002,0.0004489268,-0.0008701707,0.0,C,DIAGNOSTIC_ONLY,False,False,4
C_t9_s29_P6,9,29,P6,3001,0.0,0.0,-0.0872664626,C,DIAGNOSTIC_ONLY,False,False,5
C_t9_s30_P5,9,30,P5,3000,0.0,0.0,0.0872664626,C,DIAGNOSTIC_ONLY,False,False,6
C_t9_s31_P7,9,31,P7,3002,0.0004489268,-0.0008701707,0.0,C,DIAGNOSTIC_ONLY,False,False,7
C_t9_s32_P6,9,32,P6,3001,0.0,0.0,-0.0872664626,C,DIAGNOSTIC_ONLY,False,False,1
C_t9_s33_P5,9,33,P5,3000,0.0,0.0,0.0872664626,C,DIAGNOSTIC_ONLY,False,False,2
C_t9_s34_P7,9,34,P7,3002,0.0004489268,-0.0008701707,0.0,C,DIAGNOSTIC_ONLY,False,False,3
C_t9_s35_P6,9,35,P6,3001,0.0,0.0,-0.0872664626,C,DIAGNOSTIC_ONLY,False,False,4
C_t9_s36_P5,9,36,P5,3000,0.0,0.0,0.0872664626,C,DIAGNOSTIC_ONLY,False,False,5
C_t9_s37_P7,9,37,P7,3002,0.0004489268,-0.0008701707,0.0,C,DIAGNOSTIC_ONLY,False,False,6
